382,265
497,246
178,190
686,132
385,90
260,134
186,280
628,54
72,235
74,132
162,116
593,175
655,203
236,89
155,256
119,112
33,109
295,90
344,102
115,233
581,226
31,46
537,198
529,138
619,118
200,143
464,280
496,91
534,105
736,244
412,320
187,233
309,304
115,58
43,201
683,97
311,49
393,199
67,25
323,166
157,74
255,229
140,161
481,205
76,183
439,242
602,267
84,272
638,170
345,198
343,239
464,87
592,71
186,84
401,62
653,231
357,43
455,154
57,59
424,106
548,77
537,173
529,271
129,197
713,201
368,153
235,56
315,215
566,111
287,276
307,136
619,238
670,250
264,41
669,52
728,116
130,87
270,65
447,299
407,275
212,78	
